TRDATE,REGION,STATE_NAME,MODE_OF_TRANSPORT,STATION_NAME,UTILITY,SECTOR,CAPACITY,NORMATIVE_STOCKS_REQUIRED_IN_DAYS,DAILY_REQUIREMENT,ACTUAL_STOCK_IMPORT,ACTUAL_STOCK_INDIGENOUS,ACTUAL_STOCK_TOTAL,ACTUAL_STOCK_DAYS,CRITICAL,SUPERCRITICAL,REMARKS
16-Feb-17,EASTERN,JHARKHAND,RAIL,CHANDRAPURA(DVC) TPS,DAMODAR VALLEY CORPORATION,CENTRAL,760,20,11,0,300,300,27,NULL,NULL,NA
16-Feb-17,EASTERN,JHARKHAND,RAIL,PATRATU TPS,PATRATU VIDYUT UTPADAN NIGAM LIMITED(PVUNL),CENTRAL,455,20,7,0,9,9,1,CRITICAL,SUPERCRITICAL,NA
16-Feb-17,EASTERN,JHARKHAND,ROAD,TENUGHAT TPS,TENUGHAT VIDYUT NIGAM LIMITED,STATE,420,20,4,0,270,270,76,NULL,NULL,NA
16-Feb-17,EASTERN,JHARKHAND,RAIL,BOKARO `B` TPS,DAMODAR VALLEY CORPORATION,CENTRAL,630,20,5,0,140,140,28,NULL,NULL,NA
16-Feb-17,EASTERN,JHARKHAND,RAIL,MAITHON RB TPP,MAITHON POWER LIMITED,IPP,1050,20,14,0,235,235,16,NULL,NULL,NA
16-Feb-17,EASTERN,JHARKHAND,RAIL,KODARMA TPP,DAMODAR VALLEY CORPORATION,CENTRAL,1000,20,8,0,279,279,36,NULL,NULL,NA
16-Feb-17,EASTERN,ORISSA,PITHEAD,IB VALLEY TPS,ORISSA POWER GENERATION CORPORATION LIMITED,STATE,420,15,9,0,67,67,8,NULL,NULL,NA
16-Feb-17,EASTERN,ORISSA,PITHEAD,TALCHER (OLD) TPS,NTPC LIMITED.,CENTRAL,460,15,10,0,235,235,24,NULL,NULL,NA
16-Feb-17,EASTERN,ORISSA,PITHEAD,TALCHER STPS,NTPC LIMITED.,CENTRAL,3000,15,58,0,491,491,9,NULL,NULL,NA
16-Feb-17,EASTERN,ORISSA,RAIL,KAMALANGA TPS,GMR ENERGY LIMITED,IPP,1050,20,10,0,136,136,14,NULL,NULL,NA
16-Feb-17,EASTERN,WEST BENGAL,RAIL,DURGAPUR TPS,DAMODAR VALLEY CORPORATION,CENTRAL,210,20,4,0,171,171,48,NULL,NULL,NA
16-Feb-17,EASTERN,WEST BENGAL,RAIL,MEJIA TPS,DAMODAR VALLEY CORPORATION,CENTRAL,2340,20,27,0,259,259,10,NULL,NULL,NA
16-Feb-17,EASTERN,WEST BENGAL,RAIL,BAKRESWAR TPS,WEST BENGAL POWER DEVELOPMENT CORP. LIMITED,STATE,1050,20,13,0,293,293,22,NULL,NULL,NA
16-Feb-17,EASTERN,WEST BENGAL,RAIL,BANDEL TPS,WEST BENGAL POWER DEVELOPMENT CORP. LIMITED,STATE,450,20,6,0,128,128,23,NULL,NULL,NA
